Cell,sink_type
BM1_bcIBPM,
BM1_bcBQPE,
BM1_bcDTBX,
BM1_bcBNKT,
BM1_bcEIYZ,
BM1_bcCZCC,
BM1_bcHGUD,
BM1_bcIFSO,
BM1_bcHOGH,
BM1_bcGMDL,
BM1_bcDINA,
BM1_bcFKHK,
BM1_bcBRCU,
BM1_bcDMOK,
BM1_bcCXFS,
BM1_bcGGEM,
BM1_bcHGXK,
BM1_bcCQVW,
BM1_bcDNQS,
BM1_bcFZLJ,
BM1_bcGDTK,
BM1_bcGWPH,
BM1_bcHISY,
BM1_bcIGTZ,
BM1_bcGEAH,
BM1_bcHCZZ,
BM1_bcEKGK,
BM1_bcGEFT,
BM1_bcHOBW,
BM1_bcGOIF,
BM1_bcDXHT,
BM1_bcFEZU,
BM1_bcHDGX,
BM1_bcAZAD,
BM1_bcBVEA,
BM1_bcDYBH,
BM1_bcAUJK,
BM1_bcFTFL,
BM1_bcEQHF,
BM1_bcBSYL,
BM1_bcAWCV,
BM1_bcGHSB,
BM1_bcDCVX,
BM1_bcBSDL,
BM1_bcFCQB,
BM1_bcEJYR,
BM1_bcDTDA,
BM1_bcDNXZ,
BM1_bcGKVN,
BM1_bcGMHA,
BM1_bcAVQO,
BM1_bcDPBT,
BM1_bcHWYT,
BM1_bcHDPA,
BM1_bcDMEF,
BM1_bcFSZV,
BM1_bcHTMH,
BM1_bcGPQZ,
BM1_bcFCUI,
BM1_bcFPHA,
BM1_bcBGUR,
BM1_bcGOQV,
BM1_bcGXEL,
BM1_bcDEDV,
BM1_bcFDDS,
BM1_bcEJOL,
BM1_bcFBDD,
BM1_bcAISW,
BM1_bcDQTL,
BM1_bcAONQ,
BM1_bcFQER,
BM1_bcCYUV,
BM1_bcDNFO,
BM1_bcBOLN,
BM1_bcBTCY,
BM1_bcFNHR,
BM1_bcHXDZ,
BM1_bcAILC,
BM1_bcIAPJ,
BM1_bcCSEN,
BM1_bcGYGP,
BM1_bcIBYD,
BM1_bcDANX,
BM1_bcGMPB,
BM1_bcHAUG,
BM1_bcAKEM,
BM1_bcDSRS,
BM1_bcAFFU,
BM1_bcHWUA,
BM1_bcACLW,
BM1_bcCFDW,
BM1_bcDQDE,
BM1_bcDWWE,
BM1_bcFYDV,
BM1_bcEKYS,
BM1_bcHPLY,
BM1_bcCKZV,
BM1_bcHAXL,
BM1_bcFXTO,
BM1_bcCXQZ,
BM1_bcHBGW,
BM1_bcEYVY,
BM1_bcECQL,
BM1_bcAXRS,
BM1_bcAUTG,
BM1_bcDMGH,
BM1_bcHXTU,
BM1_bcFQSO,
BM1_bcCEOR,
BM1_bcCYXH,
BM1_bcESGG,
BM1_bcCPIF,
BM1_bcEOGO,
BM1_bcBEDC,
BM1_bcHVXE,
BM1_bcBYOA,
BM1_bcCYIQ,
BM1_bcEALV,
BM1_bcEEFJ,
BM1_bcFNDD,
BM1_bcDUHX,
BM1_bcCJHK,
BM1_bcGZVZ,
BM1_bcBPOB,
BM1_bcDVXM,
BM1_bcFNOP,
BM1_bcGJCT,
BM1_bcHBJC,
BM1_bcAXSQ,
BM1_bcHLBH,
BM1_bcALMG,
BM1_bcDPGV,
BM1_bcCSDX,
BM1_bcAMDN,
BM1_bcDCCA,
BM1_bcEQGL,
BM1_bcBETX,
BM1_bcBUED,
BM1_bcGFNI,
BM1_bcCHAB,
BM1_bcCFSW,
BM1_bcDPQD,
BM1_bcABWI,
BM1_bcBEMC,
BM1_bcHXSY,
BM1_bcARCN,
BM1_bcHIQU,
BM1_bcFSMA,
BM1_bcIIAY,
BM1_bcBRCH,
BM1_bcESBT,
BM1_bcHEHM,
BM1_bcBBKR,
BM1_bcEWVH,
BM1_bcCTBJ,
BM1_bcHZJZ,
BM1_bcGKLH,
BM1_bcADHL,
BM1_bcFIVF,
BM1_bcBCAK,
BM1_bcAWAS,
BM1_bcFMEN,
BM1_bcBBNB,
BM1_bcFNLG,
BM1_bcASEZ,
BM1_bcAQHH,
BM1_bcELMI,
BM1_bcHFZT,
BM1_bcFAWF,
BM1_bcHPIG,
BM1_bcHEMK,
BM1_bcESUV,
BM1_bcGBCA,
BM1_bcHUXY,
BM1_bcALNK,
BM1_bcDHCX,
BM1_bcDQPL,
BM1_bcANCI,
BM1_bcAQYL,
BM1_bcHVRT,
BM1_bcGWCA,
BM1_bcHDVL,
BM1_bcEHDH,
BM1_bcCHLC,
BM1_bcFHRM,
BM1_bcGXUI,
BM1_bcAHUO,
BM1_bcCYXB,
BM1_bcCWDS,
BM1_bcIEUE,
BM1_bcGLPY,
BM1_bcHMZY,
BM1_bcDBMW,
BM1_bcCWQI,
BM1_bcGHHO,
BM1_bcHHMH,
BM1_bcBAWS,
BM1_bcEJSP,
BM1_bcGLJU,
BM1_bcHAFY,
BM1_bcDOZP,
BM1_bcCYVF,
BM1_bcDHKC,
BM1_bcAPFY,
BM1_bcHFPT,
BM1_bcHQKK,
BM1_bcGBFL,
BM1_bcAFXI,
BM1_bcCMXY,
BM1_bcBIUI,
BM1_bcCZCF,
BM1_bcBKQL,
BM1_bcGPHY,
BM1_bcDKZX,
BM1_bcCQGC,
BM1_bcHPZX,
BM1_bcGFTF,
BM1_bcGXLK,
BM1_bcDEHU,
BM1_bcHHBU,
BM1_bcDCAG,
BM1_bcBPUB,
BM1_bcHYHZ,
BM1_bcFMKT,
BM1_bcFNUH,
BM1_bcBGRM,
BM1_bcHHZB,
BM1_bcBGUI,
BM1_bcAPLH,
BM1_bcENUQ,
BM1_bcEJNF,
BM1_bcGOVZ,
BM1_bcGDDL,
BM1_bcDDYC,
BM1_bcFEBE,
BM1_bcASMJ,
BM1_bcGTCF,
BM1_bcHPSD,
BM1_bcAANH,
BM1_bcBJGT,
BM1_bcIJGZ,
BM1_bcBXGX,
BM1_bcEOER,
BM1_bcDTTB,
BM1_bcHEVI,
BM1_bcCIQE,
BM1_bcFMTY,
BM1_bcFVEQ,
BM1_bcBXBN,
BM1_bcDLUA,
BM1_bcDVXG,
BM1_bcAZOY,
BM1_bcHTVQ,
BM1_bcCJUF,
BM1_bcGWHR,
BM1_bcACBR,
BM1_bcAIVO,
BM1_bcHAIJ,
BM1_bcBURN,
BM1_bcIDUK,
BM1_bcGTCY,
BM1_bcDOGP,
BM1_bcGTAD,
BM1_bcBVOX,
BM1_bcGRWW,
BM1_bcAZDM,
BM1_bcCELS,
BM1_bcDYSD,
BM1_bcESHM,
BM1_bcFUGY,
BM1_bcABYP,
BM1_bcFQEJ,
BM1_bcDHOA,
BM1_bcGGCB,
BM1_bcBSZP,
BM1_bcGINN,
BM1_bcASSI,
BM1_bcDQAA,
BM1_bcDGMX,
BM1_bcBLUW,
BM1_bcEEWS,
BM1_bcGBDI,
BM1_bcDLMQ,
BM1_bcCHSS,
BM1_bcDXAI,
BM1_bcGAPU,
BM1_bcCSYU,
BM1_bcFXRS,
BM1_bcCPVV,
BM1_bcHLXR,
BM1_bcGFWP,
BM1_bcFSHT,
BM1_bcCBSP,
BM1_bcEWKR,
BM1_bcHSAG,
BM1_bcCFVV,
BM1_bcDIQG,
BM1_bcEMNT,
BM1_bcHHXD,
BM1_bcEXOB,
BM1_bcGMMB,
BM1_bcFPOA,
BM1_bcCRNM,
BM1_bcCVSS,
BM1_bcDRQV,
BM1_bcEGFZ,
BM1_bcCFNV,
BM1_bcDYUZ,
BM1_bcAQEU,
BM1_bcDTPB,
BM1_bcHPNL,
BM1_bcCSTM,
BM1_bcEJER,
BM1_bcGDUG,
BM1_bcFASV,
BM1_bcHAED,
BM1_bcBMWO,
BM1_bcBHZX,
BM1_bcFPBA,
BM1_bcDAHP,
BM1_bcBKYU,
BM1_bcGDAN,
BM1_bcIIGN,
BM1_bcCLPY,
BM1_bcDFCW,
BM1_bcFXJL,
BM1_bcDLNR,
BM1_bcIBDW,
BM1_bcCHEC,
BM1_bcBTDW,
BM1_bcBJTF,
BM1_bcDPMX,
BM1_bcEYHG,
BM1_bcDPBC,
BM1_bcFOSG,
BM1_bcDXGA,
BM1_bcCINA,
BM1_bcFYYH,
BM1_bcBIDH,
BM1_bcFXQY,
BM1_bcGZZL,
BM1_bcFITJ,
BM1_bcGSYD,
BM1_bcBREG,
BM1_bcDWGM,
BM1_bcEHJY,
BM1_bcEDLO,
BM1_bcFMXZ,
BM1_bcDUSG,
BM1_bcECQQ,
BM1_bcEMEA,
BM1_bcALXA,
BM1_bcACZY,
BM1_bcBSUU,
BM1_bcHKOT,
BM1_bcFOID,
BM1_bcDDZD,
BM1_bcDOYA,
BM1_bcFCEM,
BM1_bcFUMY,
BM1_bcFGQW,
BM1_bcDDKS,
BM1_bcHMSL,
BM1_bcDIZW,
BM1_bcBVSQ,
BM1_bcACNX,
BM1_bcFXXK,
BM1_bcADDJ,
BM1_bcDCLC,
BM1_bcFRUL,
BM1_bcHPSL,
BM1_bcHBBO,
BM1_bcAUTF,
BM1_bcAQLK,
BM1_bcFDFC,
BM1_bcIBGV,
BM1_bcDAIE,
BM1_bcABVS,
BM1_bcALSW,
BM1_bcBVCJ,
BM1_bcGHGW,
BM1_bcEDAN,
BM1_bcCIKX,
BM1_bcCBEE,
BM1_bcEBGK,
BM1_bcBDRX,
BM1_bcBXHF,
BM1_bcHSYU,
BM1_bcGVJV,
BM1_bcEEEY,
BM1_bcETRD,
BM1_bcGPAG,
BM1_bcFFQQ,
BM1_bcHEMH,
BM1_bcHLFL,
BM1_bcBFLP,
BM1_bcHYQZ,
BM1_bcDBJV,
BM1_bcEWRJ,
BM1_bcCQCR,
BM1_bcEZNB,
BM1_bcBRGP,
BM1_bcENWK,
BM1_bcDWGY,
BM1_bcAEMC,
BM1_bcAPHG,
BM1_bcHVHB,
BM1_bcDNQK,
BM1_bcFFLB,
BM1_bcHJIZ,
BM1_bcBOUL,
BM1_bcDPJD,
BM1_bcAVVP,
BM1_bcGYTN,
BM1_bcAYXF,
BM1_bcARHL,
BM1_bcAHOT,
BM1_bcFLZB,
BM1_bcDETK,
BM1_bcEFDU,
BM1_bcFYTG,
BM1_bcBKCQ,
BM1_bcHDAB,
BM1_bcCNNW,
BM1_bcAKCY,
BM1_bcHYWL,
BM1_bcAYBE,
BM1_bcGXLD,
BM1_bcFODD,
BM1_bcCTLC,
BM1_bcDZXV,
BM1_bcEGPB,
BM1_bcASHS,
BM1_bcCBPD,
BM1_bcIEQS,
BM1_bcEMNW,
BM1_bcCDBV,
BM1_bcGDGK,
BM1_bcBMOU,
BM1_bcCNIS,
BM1_bcBOCS,
BM1_bcEFOO,
BM1_bcDTKV,
BM1_bcELWA,
BM1_bcEGVM,
BM1_bcBKPJ,
BM1_bcHNVI,
BM1_bcBWZA,
BM1_bcDRHH,
BM1_bcAERF,
BM1_bcCOJC,
BM1_bcHAUX,
BM1_bcHVTC,
BM1_bcGTDQ,
BM1_bcDFWQ,
BM1_bcFCIM,
BM1_bcFDDA,
BM1_bcAXMZ,
BM1_bcGAZW,
BM1_bcCABK,
BM1_bcBHRL,
BM1_bcDGFR,
BM1_bcFIUA,
BM1_bcETSS,
BM1_bcCLJI,
BM1_bcAITZ,
BM1_bcAEGX,
BM1_bcGQDB,
BM1_bcAKCW,
BM1_bcIFKH,
BM1_bcADBQ,
BM1_bcEJYF,
BM1_bcADOJ,
BM1_bcHEIX,
BM1_bcAPFJ,
BM1_bcCVTN,
BM1_bcGRGD,
BM1_bcGLJL,
BM1_bcABME,
BM1_bcABTC,
BM1_bcBFXT,
BM1_bcFFKO,
BM1_bcCUOX,
BM1_bcARYT,
BM1_bcEBSC,
BM1_bcGIFG,
BM1_bcEPQI,
BM1_bcCKUE,
BM1_bcASZB,
BM1_bcGTJE,
BM1_bcANIF,
BM1_bcHOJV,
BM1_bcEQJD,
BM1_bcEWRQ,
BM1_bcDYPE,
BM1_bcIANC,
BM1_bcFVEK,
BM1_bcFMFC,
BM1_bcBRDS,
BM1_bcAZKD,
BM1_bcEEDO,
BM1_bcCZKL,
BM1_bcIIGE,
BM1_bcFWON,
BM1_bcHDIY,
BM1_bcFPMR,
BM1_bcCDWD,
BM1_bcDITD,
BM1_bcBUUS,
BM1_bcCHXT,
BM1_bcFRGR,
BM1_bcDOEH,
BM1_bcGQEI,
BM1_bcGRPI,
BM1_bcHUOE,
BM1_bcERMY,
BM1_bcBWHV,
BM1_bcBFFX,
BM1_bcDGPC,
BM1_bcDXDI,
BM1_bcEBSX,
BM1_bcDVXW,
BM1_bcENAB,
BM1_bcCSLA,
BM1_bcFQXI,
BM1_bcEHID,
BM1_bcCFVI,
BM1_bcEXUL,
BM1_bcEVGB,
BM1_bcBUXK,
BM1_bcFYSH,
BM1_bcCKJD,
BM1_bcCEOO,
BM1_bcBOMR,
BM1_bcGTJM,
BM1_bcCXFI,
BM1_bcFAYO,
BM1_bcALJA,
BM1_bcICXG,
BM1_bcDZGA,
BM1_bcAJJT,
BM1_bcBGMG,
BM1_bcHFAV,
BM1_bcFUHA,
BM1_bcCHEV,
BM1_bcFJRF,
BM1_bcGQGQ,
BM1_bcDOPH,
BM1_bcAVOJ,
BM1_bcCALX,
BM1_bcIIIZ,erythroid
BM1_bcHIAI,
BM1_bcBNME,
BM1_bcBFHB,
BM1_bcCZZD,
BM1_bcCKIE,
BM1_bcDBDG,
BM1_bcHTBE,
BM1_bcFJXU,
BM1_bcBJSO,
BM1_bcGJTO,
BM1_bcFZZD,
BM1_bcDHJH,
BM1_bcHKEB,
BM1_bcCPUH,erythroid
BM1_bcIJAS,
BM1_bcHXSW,
BM1_bcAGZS,
BM1_bcBJAT,
BM1_bcCVAF,erythroid
BM1_bcHBFM,erythroid
BM1_bcHRGJ,
BM1_bcHTHK,
BM1_bcEQGH,
BM1_bcDRKW,
BM1_bcCRGC,
BM1_bcDRKL,
BM1_bcDBZD,
BM1_bcDFFL,
BM1_bcAOLQ,
BM1_bcBAOX,
BM1_bcFVGW,
BM1_bcBJDA,
BM1_bcCLRS,
BM1_bcDXVI,
BM1_bcGUAG,
BM1_bcGZIT,
BM1_bcCHGC,
BM1_bcFMWX,
BM1_bcDSIO,erythroid
BM1_bcFEWU,
BM1_bcCPPV,
BM1_bcFIER,
BM1_bcGNVV,
BM1_bcGCTK,
BM1_bcGKBN,
BM1_bcIDCD,
BM1_bcCQAP,
BM1_bcGKYL,
BM1_bcBRKX,
BM1_bcFNWZ,
BM1_bcARCZ,
BM1_bcGHDU,
BM1_bcEEAR,erythroid
BM1_bcCDAO,erythroid
BM1_bcAFOU,
BM1_bcFYEF,
BM1_bcHUFO,
BM1_bcBKCR,
BM1_bcHIIU,
BM1_bcHSVK,erythroid
BM1_bcDWER,
BM1_bcDJTX,
BM1_bcCATK,
BM1_bcCNTG,
BM1_bcEOMA,
BM1_bcEBUU,
BM1_bcDNKG,
BM1_bcBTAZ,
BM1_bcDQDL,erythroid
BM1_bcAUKS,
BM1_bcHPCK,
BM1_bcAXIN,
BM1_bcCWYH,erythroid
BM1_bcBJNG,
BM1_bcAUOJ,
BM1_bcBPLH,
BM1_bcBDPM,
BM1_bcHRNM,
BM1_bcGJCQ,
BM1_bcBIHO,
BM1_bcGCJT,
BM1_bcCUWP,
BM1_bcCUQT,
BM1_bcGGGM,
BM1_bcCVEK,
BM1_bcFBUG,erythroid
BM1_bcEGVW,
BM1_bcEKVM,
BM1_bcEABL,
BM1_bcEIGY,
BM1_bcGJQO,
BM1_bcDSIH,
BM1_bcABCR,
BM1_bcHRAY,
BM1_bcDZAV,
BM1_bcEZWC,
BM1_bcCYAW,
BM1_bcAWPY,
BM1_bcEXDI,
BM1_bcFHUB,
BM1_bcBCDN,
BM1_bcFGOM,
BM1_bcAFNZ,
BM1_bcCWPQ,
BM1_bcGKQK,
BM1_bcEYRK,
BM1_bcGFJT,platelet
BM1_bcDVLR,
BM1_bcAGDJ,
BM1_bcDKWX,
BM1_bcEBAT,
BM1_bcCOIB,
BM1_bcGLEJ,
BM1_bcIJFA,
BM1_bcFHRU,
BM1_bcGREE,erythroid
BM1_bcDOOM,
BM1_bcAKOL,
BM1_bcAJOL,
BM1_bcDOAG,
BM1_bcCOFL,
BM1_bcFMYF,
BM1_bcHQWJ,
BM1_bcGGHG,
BM1_bcGRDN,
BM1_bcDRLN,erythroid
BM1_bcFVVD,
BM1_bcBGAA,
BM1_bcENED,
BM1_bcHHWO,
BM1_bcHKMH,
BM1_bcEAWM,
BM1_bcCPCX,
BM1_bcBKIV,
BM1_bcGZMZ,
BM1_bcAJTT,
BM1_bcBIVK,
BM1_bcHMMY,
BM1_bcEXOO,
BM1_bcFUDK,
BM1_bcFQEW,
BM1_bcHYNB,neutrophil
BM1_bcCKPC,
BM1_bcDEKC,
BM1_bcFNOF,
BM1_bcFSOU,
BM1_bcEPOH,
BM1_bcDYFV,
BM1_bcFPME,
BM1_bcGBGR,
BM1_bcAISI,neutrophil
BM1_bcAUTM,
BM1_bcEWDE,
BM1_bcHAEL,
BM1_bcCEKO,neutrophil
BM1_bcFRQC,
BM1_bcECZW,neutrophil
BM1_bcGGIQ,
BM1_bcICBR,
BM1_bcCQWA,
BM1_bcDXDB,
BM1_bcFOQK,
BM1_bcBAZZ,
BM1_bcHSME,
BM1_bcDMFD,
BM1_bcBEGV,
BM1_bcCWOP,
BM1_bcHEUQ,
BM1_bcECNK,
BM1_bcBILS,neutrophil
BM1_bcEJKI,
BM1_bcAUMG,
BM1_bcACLC,
BM1_bcAUWF,
BM1_bcGPOY,
BM1_bcEOCI,
BM1_bcDHXS,
BM1_bcGHJL,
BM1_bcDQFB,
BM1_bcIFKV,
BM1_bcASHQ,neutrophil
BM1_bcDYRW,
BM1_bcHWQF,
BM1_bcERUU,
BM1_bcAZNJ,
BM1_bcDMSG,
BM1_bcEWAK,
BM1_bcGQRB,
BM1_bcAJSJ,neutrophil
BM1_bcCZYO,
BM1_bcDVGX,
BM1_bcCWEH,
BM1_bcBOIO,
BM1_bcBHSB,
BM1_bcFKFV,neutrophil
BM1_bcALKV,
BM1_bcGSRX,neutrophil
BM1_bcBTSY,neutrophil
BM1_bcHKFX,
BM1_bcBBYN,
BM1_bcCYCG,
BM1_bcGSHH,
BM1_bcGJVU,
BM1_bcHXGF,
BM1_bcCEIZ,
BM1_bcDOZE,
BM1_bcEIUT,
BM1_bcCFVW,
BM1_bcAKEA,neutrophil
BM1_bcAFCN,neutrophil
BM1_bcEGOO,
BM1_bcEJGY,
BM1_bcGEPI,
BM1_bcAZUM,
BM1_bcHBNJ,
BM1_bcFFMK,
BM1_bcBPZU,
BM1_bcCLAS,
BM1_bcEJQC,
BM1_bcDMXA,
BM1_bcBBKU,neutrophil
BM1_bcIFTM,
BM1_bcEKRV,
BM1_bcEJQF,
BM1_bcCFNR,
BM1_bcCJVQ,
BM1_bcCHDI,neutrophil
BM1_bcBUYC,
BM1_bcDKAE,
BM1_bcBMAT,
BM1_bcAZMX,
BM1_bcBNOG,
BM1_bcDACO,
BM1_bcDKLE,
BM1_bcECCC,
BM1_bcEAMO,
BM1_bcAVDK,
BM1_bcGUEM,
BM1_bcHREK,neutrophil
BM1_bcDAKK,
BM1_bcGRPX,
BM1_bcHAVP,
BM1_bcGYLI,
BM1_bcGISF,
BM1_bcEHZM,
BM1_bcBDMT,
BM1_bcAEXH,neutrophil
BM1_bcATTL,neutrophil
BM1_bcCRUJ,
BM1_bcGNRZ,
BM1_bcHEYT,
BM1_bcGYKZ,
BM1_bcDXXY,
BM1_bcGZGB,
BM1_bcGPGF,
BM1_bcCWQF,
BM1_bcAOGD,
BM1_bcALTW,
BM1_bcHIUG,
BM1_bcIIMX,
BM1_bcHAPK,
BM1_bcAJPN,
BM1_bcBADJ,neutrophil
BM1_bcCZRI,
BM1_bcHAMG,
BM1_bcBBKA,
BM1_bcAHNY,
BM1_bcIDJF,
BM1_bcHGFW,
BM1_bcAQTX,
BM1_bcCHYI,
BM1_bcFMUG,
BM1_bcGCXC,
BM1_bcGESX,
BM1_bcDHTR,
BM1_bcEKEY,
BM1_bcGGDG,
BM1_bcCNBV,
BM1_bcDDWH,
BM1_bcEPLG,
BM1_bcDLIM,
BM1_bcEEZW,
BM1_bcGORO,
BM1_bcABLX,
BM1_bcGCDC,
BM1_bcFQSS,
BM1_bcDKPJ,neutrophil
BM1_bcHHJB,
BM1_bcAJKV,
BM1_bcASIF,
BM1_bcEHXE,
BM1_bcEVJU,
BM1_bcFFSJ,
BM1_bcFISI,
BM1_bcDUVM,
BM1_bcBGRN,
BM1_bcEYYC,
BM1_bcDDTS,neutrophil
BM1_bcCEWO,
BM1_bcAKAT,
BM1_bcDTVA,
BM1_bcFEGF,
BM1_bcCWJV,
BM1_bcATKW,
BM1_bcCHIH,
BM1_bcEBPL,
BM1_bcFYXA,
BM1_bcHTCA,
BM1_bcCBAS,
BM1_bcDLBH,neutrophil
BM1_bcATWG,neutrophil
BM1_bcDMTZ,neutrophil
BM1_bcCIUB,
BM1_bcGLON,
BM1_bcCCHB,
BM1_bcAETC,
BM1_bcIBXV,
BM1_bcHKFK,
BM1_bcIGZN,
BM1_bcETZR,
BM1_bcEIVC,
BM1_bcEUKD,
BM1_bcAPGM,
BM1_bcDGZZ,
BM1_bcACVU,
BM1_bcAYHG,
BM1_bcEYMM,
BM1_bcDGCK,
BM1_bcDRIP,
BM1_bcDZNZ,neutrophil
BM1_bcDCZV,
BM1_bcHMVV,
BM1_bcHKSQ,
BM1_bcCKZY,
BM1_bcDRYR,
BM1_bcHZVB,
BM1_bcGFCN,
BM1_bcADTW,neutrophil
BM1_bcDGPM,
BM1_bcAJXX,
BM1_bcEJOM,
BM1_bcFLRJ,
BM1_bcAPFG,
BM1_bcAKTE,
BM1_bcGECM,
BM1_bcDSCA,
BM1_bcEZZQ,
BM1_bcCDPZ,
BM1_bcAYPE,
BM1_bcIAIJ,neutrophil
BM1_bcENDT,neutrophil
BM1_bcHLRT,
BM1_bcIHCM,
BM1_bcEERN,neutrophil
BM1_bcGAGQ,
BM1_bcFQFP,
BM1_bcGNBM,
BM1_bcDIIB,
BM1_bcHNXF,
BM1_bcDMVC,
BM1_bcBIMD,
BM1_bcFXED,
BM1_bcAUGH,
BM1_bcFLZJ,
BM1_bcBZRY,
BM1_bcHDCY,neutrophil
BM1_bcCLMA,
BM1_bcEXTH,neutrophil
BM1_bcHGNK,neutrophil
BM1_bcGENW,
BM1_bcGASY,
BM1_bcDSAA,neutrophil
BM1_bcHLEC,
BM1_bcGXYX,
BM1_bcEHLP,
BM1_bcAACZ,
BM1_bcCIZO,
BM1_bcGNKX,
BM1_bcAEZF,
BM1_bcAAPW,
BM1_bcCPSJ,
BM1_bcDFTO,
BM1_bcAWMU,
BM1_bcDCTC,
BM1_bcHMPB,
BM1_bcHTAX,
BM1_bcDJAY,neutrophil
BM1_bcGBWM,
BM1_bcEAAO,
BM1_bcEVNG,
BM1_bcEFWK,
BM1_bcDTFK,
BM1_bcBCNO,
