Cell,meta_cluster
BM1_bcHCUF,HSC/MPP
BM1_bcDOOK,HSC/MPP
BM1_bcGUAT,HSC/MPP
BM1_bcEFHO,HSC/MPP
BM1_bcGIMX,HSC/MPP
BM1_bcHOSH,HSC/MPP
BM1_bcDRST,Meg/Ery-biased-MPP
BM1_bcCKGC,Meg/Ery-biased-MPP
BM1_bcFDIP,HSC/MPP
BM1_bcEMLH,HSC/MPP
BM1_bcEGWO,HSC/MPP
BM1_bcAGBA,Lymphoid
BM1_bcDHEV,HSC/MPP
BM1_bcDIZQ,HSC/MPP
BM1_bcDVWV,Lymphoid
BM1_bcCIXR,HSC/MPP
BM1_bcBCOO,HSC/MPP
BM1_bcGRBN,HSC/MPP
BM1_bcBBSC,HSC/MPP
BM1_bcAWBM,HSC/MPP
BM1_bcCVFK,Lymphoid
BM1_bcEPDG,HSC/MPP
BM1_bcDVFC,HSC/MPP
BM1_bcBJEF,Lymphoid
BM1_bcEJKB,Meg/Ery-biased-MPP
BM1_bcGJOG,HSC/MPP
BM1_bcAQGA,Lymphoid
BM1_bcEQXC,HSC/MPP
BM1_bcDUHZ,HSC/MPP
BM1_bcCXSJ,HSC/MPP
BM1_bcBVXW,HSC/MPP
BM1_bcATGY,HSC/MPP
BM1_bcAHPJ,HSC/MPP
BM1_bcGURE,HSC/MPP
BM1_bcGCSS,HSC/MPP
BM1_bcIBAC,Meg/Ery-biased-MPP
BM1_bcGCLH,HSC/MPP
BM1_bcGUSE,Myeloid-biased-MPP
BM1_bcGDPL,HSC/MPP
BM1_bcAXDG,Myeloid-biased-MPP
BM1_bcCNKM,HSC/MPP
BM1_bcDCLR,HSC/MPP
BM1_bcAGDA,HSC/MPP
BM1_bcCWXR,HSC/MPP
BM1_bcCZYX,Myeloid-biased-MPP
BM1_bcAEUV,HSC/MPP
BM1_bcEJMT,HSC/MPP
BM1_bcAZHG,HSC/MPP
BM1_bcCZGG,HSC/MPP
BM1_bcENUV,HSC/MPP
BM1_bcDNRP,HSC/MPP
BM1_bcEMZV,HSC/MPP
BM1_bcBRCI,HSC/MPP
BM1_bcEFTL,Lymphoid
BM1_bcFCRJ,HSC/MPP
BM1_bcAOEU,HSC/MPP
BM1_bcHUPS,Meg/Ery-biased-MPP
BM1_bcGDWO,HSC/MPP
BM1_bcFOAM,HSC/MPP
BM1_bcGZZM,HSC/MPP
BM1_bcABTZ,HSC/MPP
BM1_bcBKIP,HSC/MPP
BM1_bcBRQF,HSC/MPP
BM1_bcHHJD,Meg/Ery-biased-MPP
BM1_bcFIEM,Meg/Ery-biased-MPP
BM1_bcETCD,HSC/MPP
BM1_bcHSKO,HSC/MPP
BM1_bcCZDZ,HSC/MPP
BM1_bcFQWJ,HSC/MPP
BM1_bcFRNQ,HSC/MPP
BM1_bcETGN,Lymphoid
BM1_bcGNEX,Myeloid-biased-MPP
BM1_bcELSD,HSC/MPP
BM1_bcCKFO,Lymphoid
BM1_bcAJYU,HSC/MPP
BM1_bcCYJU,HSC/MPP
BM1_bcCTXC,HSC/MPP
BM1_bcFTVE,HSC/MPP
BM1_bcBRNE,Lymphoid
BM1_bcBXKH,HSC/MPP
BM1_bcDRPJ,HSC/MPP
BM1_bcBERW,HSC/MPP
BM1_bcGGUM,HSC/MPP
BM1_bcDEJV,HSC/MPP
BM1_bcEIFX,HSC/MPP
BM1_bcGOLJ,HSC/MPP
BM1_bcCKKZ,HSC/MPP
BM1_bcAGEJ,Meg/Ery-biased-MPP
BM1_bcAWCC,HSC/MPP
BM1_bcFPFK,HSC/MPP
BM1_bcFBMU,HSC/MPP
BM1_bcBGXT,HSC/MPP
BM1_bcBQEX,HSC/MPP
BM1_bcGNVK,HSC/MPP
BM1_bcCSHN,HSC/MPP
BM1_bcAGDG,HSC/MPP
BM1_bcBQDA,HSC/MPP
BM1_bcCZRW,HSC/MPP
BM1_bcCUWO,HSC/MPP
BM1_bcHKTD,HSC/MPP
BM1_bcHFOJ,HSC/MPP
BM1_bcEZPR,HSC/MPP
BM1_bcCJNU,HSC/MPP
BM1_bcGHCK,Meg/Ery-biased-MPP
BM1_bcBIDP,Meg/Ery-biased-MPP
BM1_bcCUYA,HSC/MPP
BM1_bcFWGW,HSC/MPP
BM1_bcCYGS,HSC/MPP
BM1_bcERRJ,Meg/Ery-biased-MPP
BM1_bcGDGD,HSC/MPP
BM1_bcFIYN,Lymphoid
BM1_bcBELS,HSC/MPP
BM1_bcEUTE,Granulocyte
BM1_bcAOZD,Meg/Ery-biased-MPP
BM1_bcFTLQ,HSC/MPP
BM1_bcHPSS,HSC/MPP
BM1_bcDWAA,HSC/MPP
BM1_bcEBCK,HSC/MPP
BM1_bcFLAV,Meg/Ery-biased-MPP
BM1_bcDARR,HSC/MPP
BM1_bcAUJL,HSC/MPP
BM1_bcBHBT,HSC/MPP
BM1_bcFGHC,HSC/MPP
BM1_bcFNVD,HSC/MPP
BM1_bcERNP,HSC/MPP
BM1_bcIBPM,HSC/MPP
BM1_bcBQPE,HSC/MPP
BM1_bcDTBX,HSC/MPP
BM1_bcBNKT,HSC/MPP
BM1_bcEIYZ,Myeloid-biased-MPP
BM1_bcCZCC,HSC/MPP
BM1_bcHGUD,Myeloid-biased-MPP
BM1_bcIFSO,HSC/MPP
BM1_bcHOGH,Myeloid-biased-MPP
BM1_bcGMDL,HSC/MPP
BM1_bcDINA,HSC/MPP
BM1_bcFKHK,HSC/MPP
BM1_bcBRCU,HSC/MPP
BM1_bcDMOK,Lymphoid
BM1_bcCXFS,HSC/MPP
BM1_bcGGEM,HSC/MPP
BM1_bcHGXK,HSC/MPP
BM1_bcCQVW,HSC/MPP
BM1_bcDNQS,HSC/MPP
BM1_bcFZLJ,HSC/MPP
BM1_bcGDTK,Myeloid-biased-MPP
BM1_bcGWPH,HSC/MPP
BM1_bcHISY,HSC/MPP
BM1_bcIGTZ,Meg/Ery-biased-MPP
BM1_bcGEAH,HSC/MPP
BM1_bcHCZZ,HSC/MPP
BM1_bcEKGK,HSC/MPP
BM1_bcGEFT,HSC/MPP
BM1_bcHOBW,HSC/MPP
BM1_bcGOIF,HSC/MPP
BM1_bcDXHT,HSC/MPP
BM1_bcFEZU,HSC/MPP
BM1_bcHDGX,HSC/MPP
BM1_bcAZAD,HSC/MPP
BM1_bcBVEA,HSC/MPP
BM1_bcDYBH,HSC/MPP
BM1_bcAUJK,HSC/MPP
BM1_bcFTFL,HSC/MPP
BM1_bcEQHF,HSC/MPP
BM1_bcBSYL,HSC/MPP
BM1_bcAWCV,HSC/MPP
BM1_bcGHSB,HSC/MPP
BM1_bcDCVX,HSC/MPP
BM1_bcBSDL,HSC/MPP
BM1_bcFCQB,HSC/MPP
BM1_bcEJYR,HSC/MPP
BM1_bcDTDA,HSC/MPP
BM1_bcDNXZ,HSC/MPP
BM1_bcGKVN,HSC/MPP
BM1_bcGMHA,HSC/MPP
BM1_bcAVQO,Lymphoid
BM1_bcDPBT,HSC/MPP
BM1_bcHWYT,HSC/MPP
BM1_bcHDPA,HSC/MPP
BM1_bcDMEF,HSC/MPP
BM1_bcFSZV,HSC/MPP
BM1_bcHTMH,Meg/Ery-biased-MPP
BM1_bcGPQZ,HSC/MPP
BM1_bcFCUI,HSC/MPP
BM1_bcFPHA,HSC/MPP
BM1_bcBGUR,Lymphoid
BM1_bcGOQV,HSC/MPP
BM1_bcGXEL,HSC/MPP
BM1_bcDEDV,HSC/MPP
BM1_bcFDDS,HSC/MPP
BM1_bcEJOL,HSC/MPP
BM1_bcFBDD,HSC/MPP
BM1_bcAISW,HSC/MPP
BM1_bcDQTL,Lymphoid
BM1_bcAONQ,HSC/MPP
BM1_bcFQER,Myeloid-biased-MPP
BM1_bcCYUV,HSC/MPP
BM1_bcDNFO,HSC/MPP
BM1_bcBOLN,HSC/MPP
BM1_bcBTCY,HSC/MPP
BM1_bcFNHR,HSC/MPP
BM1_bcHXDZ,HSC/MPP
BM1_bcAILC,HSC/MPP
BM1_bcIAPJ,Lymphoid
BM1_bcCSEN,HSC/MPP
BM1_bcGYGP,HSC/MPP
BM1_bcIBYD,HSC/MPP
BM1_bcDANX,HSC/MPP
BM1_bcGMPB,HSC/MPP
BM1_bcHAUG,HSC/MPP
BM1_bcAKEM,Meg/Ery-biased-MPP
BM1_bcDSRS,HSC/MPP
BM1_bcAFFU,HSC/MPP
BM1_bcHWUA,HSC/MPP
BM1_bcACLW,HSC/MPP
BM1_bcCFDW,HSC/MPP
BM1_bcDQDE,HSC/MPP
BM1_bcDWWE,HSC/MPP
BM1_bcFYDV,HSC/MPP
BM1_bcEKYS,HSC/MPP
BM1_bcHPLY,HSC/MPP
BM1_bcCKZV,Lymphoid
BM1_bcHAXL,HSC/MPP
BM1_bcFXTO,Monocyte
BM1_bcCXQZ,HSC/MPP
BM1_bcHBGW,HSC/MPP
BM1_bcEYVY,Lymphoid
BM1_bcECQL,HSC/MPP
BM1_bcAXRS,HSC/MPP
BM1_bcAUTG,HSC/MPP
BM1_bcDMGH,HSC/MPP
BM1_bcHXTU,HSC/MPP
BM1_bcFQSO,HSC/MPP
BM1_bcCEOR,HSC/MPP
BM1_bcCYXH,HSC/MPP
BM1_bcESGG,HSC/MPP
BM1_bcCPIF,HSC/MPP
BM1_bcEOGO,Lymphoid
BM1_bcBEDC,HSC/MPP
BM1_bcHVXE,Meg/Ery-biased-MPP
BM1_bcBYOA,HSC/MPP
BM1_bcCYIQ,HSC/MPP
BM1_bcEALV,HSC/MPP
BM1_bcEEFJ,HSC/MPP
BM1_bcFNDD,HSC/MPP
BM1_bcDUHX,HSC/MPP
BM1_bcCJHK,HSC/MPP
BM1_bcGZVZ,HSC/MPP
BM1_bcBPOB,HSC/MPP
BM1_bcDVXM,HSC/MPP
BM1_bcFNOP,HSC/MPP
BM1_bcGJCT,HSC/MPP
BM1_bcHBJC,Lymphoid
BM1_bcAXSQ,Myeloid-biased-MPP
BM1_bcHLBH,HSC/MPP
BM1_bcALMG,HSC/MPP
BM1_bcDPGV,HSC/MPP
BM1_bcCSDX,HSC/MPP
BM1_bcAMDN,HSC/MPP
BM1_bcDCCA,HSC/MPP
BM1_bcEQGL,HSC/MPP
BM1_bcBETX,HSC/MPP
BM1_bcBUED,HSC/MPP
BM1_bcGFNI,HSC/MPP
BM1_bcCHAB,HSC/MPP
BM1_bcCFSW,HSC/MPP
BM1_bcDPQD,Meg/Ery-biased-MPP
BM1_bcABWI,HSC/MPP
BM1_bcBEMC,Myeloid-biased-MPP
BM1_bcHXSY,HSC/MPP
BM1_bcARCN,HSC/MPP
BM1_bcHIQU,Lymphoid
BM1_bcFSMA,HSC/MPP
BM1_bcIIAY,HSC/MPP
BM1_bcBRCH,Myeloid-biased-MPP
BM1_bcESBT,Granulocyte
BM1_bcHEHM,HSC/MPP
BM1_bcBBKR,HSC/MPP
BM1_bcEWVH,HSC/MPP
BM1_bcCTBJ,HSC/MPP
BM1_bcHZJZ,HSC/MPP
BM1_bcGKLH,HSC/MPP
BM1_bcADHL,HSC/MPP
BM1_bcFIVF,HSC/MPP
BM1_bcBCAK,HSC/MPP
BM1_bcAWAS,HSC/MPP
BM1_bcFMEN,HSC/MPP
BM1_bcBBNB,HSC/MPP
BM1_bcFNLG,HSC/MPP
BM1_bcASEZ,HSC/MPP
BM1_bcAQHH,Lymphoid
BM1_bcELMI,Lymphoid
BM1_bcHFZT,HSC/MPP
BM1_bcFAWF,HSC/MPP
BM1_bcHPIG,Lymphoid
BM1_bcHEMK,HSC/MPP
BM1_bcESUV,HSC/MPP
BM1_bcGBCA,HSC/MPP
BM1_bcHUXY,Meg/Ery-biased-MPP
BM1_bcALNK,HSC/MPP
BM1_bcDHCX,HSC/MPP
BM1_bcDQPL,HSC/MPP
BM1_bcANCI,HSC/MPP
BM1_bcAQYL,HSC/MPP
BM1_bcHVRT,HSC/MPP
BM1_bcGWCA,HSC/MPP
BM1_bcHDVL,HSC/MPP
BM1_bcEHDH,HSC/MPP
BM1_bcCHLC,HSC/MPP
BM1_bcFHRM,HSC/MPP
BM1_bcGXUI,HSC/MPP
BM1_bcAHUO,HSC/MPP
BM1_bcCYXB,HSC/MPP
BM1_bcCWDS,HSC/MPP
BM1_bcIEUE,HSC/MPP
BM1_bcGLPY,HSC/MPP
BM1_bcHMZY,Myeloid-biased-MPP
BM1_bcDBMW,Myeloid-biased-MPP
BM1_bcCWQI,HSC/MPP
BM1_bcGHHO,HSC/MPP
BM1_bcHHMH,HSC/MPP
BM1_bcBAWS,HSC/MPP
BM1_bcEJSP,HSC/MPP
BM1_bcGLJU,Lymphoid
BM1_bcHAFY,Meg/Ery-biased-MPP
BM1_bcDOZP,HSC/MPP
BM1_bcCYVF,HSC/MPP
BM1_bcDHKC,HSC/MPP
BM1_bcAPFY,HSC/MPP
BM1_bcHFPT,HSC/MPP
BM1_bcHQKK,HSC/MPP
BM1_bcGBFL,Meg/Ery-biased-MPP
BM1_bcAFXI,Meg/Ery-biased-MPP
BM1_bcCMXY,HSC/MPP
BM1_bcBIUI,HSC/MPP
BM1_bcCZCF,Lymphoid
BM1_bcBKQL,Myeloid-biased-MPP
BM1_bcGPHY,HSC/MPP
BM1_bcDKZX,HSC/MPP
BM1_bcCQGC,Lymphoid
BM1_bcHPZX,HSC/MPP
BM1_bcGFTF,HSC/MPP
BM1_bcGXLK,HSC/MPP
BM1_bcDEHU,HSC/MPP
BM1_bcHHBU,HSC/MPP
BM1_bcDCAG,HSC/MPP
BM1_bcBPUB,HSC/MPP
BM1_bcHYHZ,HSC/MPP
BM1_bcFMKT,HSC/MPP
BM1_bcFNUH,HSC/MPP
BM1_bcBGRM,HSC/MPP
BM1_bcHHZB,HSC/MPP
BM1_bcBGUI,HSC/MPP
BM1_bcAPLH,HSC/MPP
BM1_bcENUQ,HSC/MPP
BM1_bcEJNF,HSC/MPP
BM1_bcGOVZ,HSC/MPP
BM1_bcGDDL,Meg/Ery-biased-MPP
BM1_bcDDYC,HSC/MPP
BM1_bcFEBE,HSC/MPP
BM1_bcASMJ,HSC/MPP
BM1_bcGTCF,Lymphoid
BM1_bcHPSD,HSC/MPP
BM1_bcAANH,HSC/MPP
BM1_bcBJGT,HSC/MPP
BM1_bcIJGZ,HSC/MPP
BM1_bcBXGX,HSC/MPP
BM1_bcEOER,Meg/Ery-biased-MPP
BM1_bcDTTB,HSC/MPP
BM1_bcHEVI,HSC/MPP
BM1_bcCIQE,HSC/MPP
BM1_bcFMTY,HSC/MPP
BM1_bcFVEQ,HSC/MPP
BM1_bcBXBN,HSC/MPP
BM1_bcDLUA,Myeloid-biased-MPP
BM1_bcDVXG,Lymphoid
BM1_bcAZOY,Myeloid-biased-MPP
BM1_bcHTVQ,Lymphoid
BM1_bcCJUF,HSC/MPP
BM1_bcGWHR,Meg/Ery-biased-MPP
BM1_bcACBR,HSC/MPP
BM1_bcAIVO,HSC/MPP
BM1_bcHAIJ,HSC/MPP
BM1_bcBURN,HSC/MPP
BM1_bcIDUK,Meg/Ery-biased-MPP
BM1_bcGTCY,HSC/MPP
BM1_bcDOGP,HSC/MPP
BM1_bcGTAD,HSC/MPP
BM1_bcBVOX,HSC/MPP
BM1_bcGRWW,Meg/Ery-biased-MPP
BM1_bcAZDM,HSC/MPP
BM1_bcCELS,HSC/MPP
BM1_bcDYSD,HSC/MPP
BM1_bcESHM,HSC/MPP
BM1_bcFUGY,HSC/MPP
BM1_bcABYP,HSC/MPP
BM1_bcFQEJ,HSC/MPP
BM1_bcDHOA,Myeloid-biased-MPP
BM1_bcGGCB,HSC/MPP
BM1_bcBSZP,HSC/MPP
BM1_bcGINN,HSC/MPP
BM1_bcASSI,HSC/MPP
BM1_bcDQAA,HSC/MPP
BM1_bcDGMX,HSC/MPP
BM1_bcBLUW,HSC/MPP
BM1_bcEEWS,HSC/MPP
BM1_bcGBDI,HSC/MPP
BM1_bcDLMQ,HSC/MPP
BM1_bcCHSS,HSC/MPP
BM1_bcDXAI,HSC/MPP
BM1_bcGAPU,HSC/MPP
BM1_bcCSYU,HSC/MPP
BM1_bcFXRS,Myeloid-biased-MPP
BM1_bcCPVV,HSC/MPP
BM1_bcHLXR,HSC/MPP
BM1_bcGFWP,HSC/MPP
BM1_bcFSHT,HSC/MPP
BM1_bcCBSP,HSC/MPP
BM1_bcEWKR,HSC/MPP
BM1_bcHSAG,HSC/MPP
BM1_bcCFVV,HSC/MPP
BM1_bcDIQG,HSC/MPP
BM1_bcEMNT,HSC/MPP
BM1_bcHHXD,HSC/MPP
BM1_bcEXOB,HSC/MPP
BM1_bcGMMB,Lymphoid
BM1_bcFPOA,HSC/MPP
BM1_bcCRNM,HSC/MPP
BM1_bcCVSS,HSC/MPP
BM1_bcDRQV,HSC/MPP
BM1_bcEGFZ,HSC/MPP
BM1_bcCFNV,HSC/MPP
BM1_bcDYUZ,HSC/MPP
BM1_bcAQEU,HSC/MPP
BM1_bcDTPB,HSC/MPP
BM1_bcHPNL,HSC/MPP
BM1_bcCSTM,HSC/MPP
BM1_bcEJER,HSC/MPP
BM1_bcGDUG,HSC/MPP
BM1_bcFASV,HSC/MPP
BM1_bcHAED,HSC/MPP
BM1_bcBMWO,HSC/MPP
BM1_bcBHZX,Lymphoid
BM1_bcFPBA,HSC/MPP
BM1_bcDAHP,HSC/MPP
BM1_bcBKYU,HSC/MPP
BM1_bcGDAN,Meg/Ery-biased-MPP
BM1_bcIIGN,HSC/MPP
BM1_bcCLPY,HSC/MPP
BM1_bcDFCW,HSC/MPP
BM1_bcFXJL,HSC/MPP
BM1_bcDLNR,HSC/MPP
BM1_bcIBDW,HSC/MPP
BM1_bcCHEC,HSC/MPP
BM1_bcBTDW,HSC/MPP
BM1_bcBJTF,HSC/MPP
BM1_bcDPMX,HSC/MPP
BM1_bcEYHG,Meg/Ery-biased-MPP
BM1_bcDPBC,HSC/MPP
BM1_bcFOSG,HSC/MPP
BM1_bcDXGA,HSC/MPP
BM1_bcCINA,HSC/MPP
BM1_bcFYYH,HSC/MPP
BM1_bcBIDH,HSC/MPP
BM1_bcFXQY,HSC/MPP
BM1_bcGZZL,Lymphoid
BM1_bcFITJ,Meg/Ery-biased-MPP
BM1_bcGSYD,HSC/MPP
BM1_bcBREG,Meg/Ery-biased-MPP
BM1_bcDWGM,HSC/MPP
BM1_bcEHJY,HSC/MPP
BM1_bcEDLO,HSC/MPP
BM1_bcFMXZ,HSC/MPP
BM1_bcDUSG,Granulocyte
BM1_bcECQQ,Myeloid-biased-MPP
BM1_bcEMEA,HSC/MPP
BM1_bcALXA,Lymphoid
BM1_bcACZY,HSC/MPP
BM1_bcBSUU,HSC/MPP
BM1_bcHKOT,HSC/MPP
BM1_bcFOID,HSC/MPP
BM1_bcDDZD,Lymphoid
BM1_bcDOYA,HSC/MPP
BM1_bcFCEM,HSC/MPP
BM1_bcFUMY,HSC/MPP
BM1_bcFGQW,HSC/MPP
BM1_bcDDKS,HSC/MPP
BM1_bcHMSL,HSC/MPP
BM1_bcDIZW,HSC/MPP
BM1_bcBVSQ,HSC/MPP
BM1_bcACNX,HSC/MPP
BM1_bcFXXK,HSC/MPP
BM1_bcADDJ,Myeloid-biased-MPP
BM1_bcDCLC,HSC/MPP
BM1_bcFRUL,HSC/MPP
BM1_bcHPSL,HSC/MPP
BM1_bcHBBO,HSC/MPP
BM1_bcAUTF,HSC/MPP
BM1_bcAQLK,HSC/MPP
BM1_bcFDFC,HSC/MPP
BM1_bcIBGV,HSC/MPP
BM1_bcDAIE,HSC/MPP
BM1_bcABVS,HSC/MPP
BM1_bcALSW,HSC/MPP
BM1_bcBVCJ,HSC/MPP
BM1_bcGHGW,HSC/MPP
BM1_bcEDAN,HSC/MPP
BM1_bcCIKX,HSC/MPP
BM1_bcCBEE,HSC/MPP
BM1_bcEBGK,HSC/MPP
BM1_bcBDRX,Myeloid-biased-MPP
BM1_bcBXHF,HSC/MPP
BM1_bcHSYU,Meg/Ery-biased-MPP
BM1_bcGVJV,Lymphoid
BM1_bcEEEY,HSC/MPP
BM1_bcETRD,HSC/MPP
BM1_bcGPAG,HSC/MPP
BM1_bcFFQQ,HSC/MPP
BM1_bcHEMH,Meg/Ery-biased-MPP
BM1_bcHLFL,HSC/MPP
BM1_bcBFLP,HSC/MPP
BM1_bcHYQZ,HSC/MPP
BM1_bcDBJV,HSC/MPP
BM1_bcEWRJ,HSC/MPP
BM1_bcCQCR,HSC/MPP
BM1_bcEZNB,HSC/MPP
BM1_bcBRGP,HSC/MPP
BM1_bcENWK,HSC/MPP
BM1_bcDWGY,HSC/MPP
BM1_bcAEMC,Lymphoid
BM1_bcAPHG,HSC/MPP
BM1_bcHVHB,HSC/MPP
BM1_bcDNQK,HSC/MPP
BM1_bcFFLB,Granulocyte
BM1_bcHJIZ,HSC/MPP
BM1_bcBOUL,HSC/MPP
BM1_bcDPJD,HSC/MPP
BM1_bcAVVP,HSC/MPP
BM1_bcGYTN,Lymphoid
BM1_bcAYXF,HSC/MPP
BM1_bcARHL,HSC/MPP
BM1_bcAHOT,HSC/MPP
BM1_bcFLZB,HSC/MPP
BM1_bcDETK,Myeloid-biased-MPP
BM1_bcEFDU,HSC/MPP
BM1_bcFYTG,HSC/MPP
BM1_bcBKCQ,HSC/MPP
BM1_bcHDAB,HSC/MPP
BM1_bcCNNW,Myeloid-biased-MPP
BM1_bcAKCY,HSC/MPP
BM1_bcHYWL,Lymphoid
BM1_bcAYBE,Lymphoid
BM1_bcGXLD,HSC/MPP
BM1_bcFODD,HSC/MPP
BM1_bcCTLC,HSC/MPP
BM1_bcDZXV,HSC/MPP
BM1_bcEGPB,HSC/MPP
BM1_bcASHS,HSC/MPP
BM1_bcCBPD,HSC/MPP
BM1_bcIEQS,Meg/Ery-biased-MPP
BM1_bcEMNW,HSC/MPP
BM1_bcCDBV,HSC/MPP
BM1_bcGDGK,HSC/MPP
BM1_bcBMOU,HSC/MPP
BM1_bcCNIS,Lymphoid
BM1_bcBOCS,HSC/MPP
BM1_bcEFOO,HSC/MPP
BM1_bcDTKV,HSC/MPP
BM1_bcELWA,HSC/MPP
BM1_bcEGVM,HSC/MPP
BM1_bcBKPJ,HSC/MPP
BM1_bcHNVI,HSC/MPP
BM1_bcBWZA,HSC/MPP
BM1_bcDRHH,HSC/MPP
BM1_bcAERF,HSC/MPP
BM1_bcCOJC,HSC/MPP
BM1_bcHAUX,HSC/MPP
BM1_bcHVTC,HSC/MPP
BM1_bcGTDQ,Meg/Ery-biased-MPP
BM1_bcDFWQ,HSC/MPP
BM1_bcFCIM,HSC/MPP
BM1_bcFDDA,HSC/MPP
BM1_bcAXMZ,HSC/MPP
BM1_bcGAZW,HSC/MPP
BM1_bcCABK,HSC/MPP
BM1_bcBHRL,Granulocyte
BM1_bcDGFR,HSC/MPP
BM1_bcFIUA,HSC/MPP
BM1_bcETSS,HSC/MPP
BM1_bcCLJI,HSC/MPP
BM1_bcAITZ,Lymphoid
BM1_bcAEGX,HSC/MPP
BM1_bcGQDB,HSC/MPP
BM1_bcAKCW,Monocyte
BM1_bcIFKH,HSC/MPP
BM1_bcADBQ,HSC/MPP
BM1_bcEJYF,HSC/MPP
BM1_bcADOJ,HSC/MPP
BM1_bcHEIX,HSC/MPP
BM1_bcAPFJ,HSC/MPP
BM1_bcCVTN,Meg/Ery-biased-MPP
BM1_bcGRGD,HSC/MPP
BM1_bcGLJL,HSC/MPP
BM1_bcABME,HSC/MPP
BM1_bcABTC,HSC/MPP
BM1_bcBFXT,HSC/MPP
BM1_bcFFKO,HSC/MPP
BM1_bcCUOX,HSC/MPP
BM1_bcARYT,HSC/MPP
BM1_bcEBSC,HSC/MPP
BM1_bcGIFG,HSC/MPP
BM1_bcEPQI,HSC/MPP
BM1_bcCKUE,HSC/MPP
BM1_bcASZB,HSC/MPP
BM1_bcGTJE,HSC/MPP
BM1_bcANIF,Lymphoid
BM1_bcHOJV,HSC/MPP
BM1_bcEQJD,HSC/MPP
BM1_bcEWRQ,HSC/MPP
BM1_bcDYPE,HSC/MPP
BM1_bcIANC,HSC/MPP
BM1_bcFVEK,HSC/MPP
BM1_bcFMFC,HSC/MPP
BM1_bcBRDS,HSC/MPP
BM1_bcAZKD,HSC/MPP
BM1_bcEEDO,HSC/MPP
BM1_bcCZKL,HSC/MPP
BM1_bcIIGE,HSC/MPP
BM1_bcFWON,Myeloid-biased-MPP
BM1_bcHDIY,HSC/MPP
BM1_bcFPMR,HSC/MPP
BM1_bcCDWD,HSC/MPP
BM1_bcDITD,HSC/MPP
BM1_bcBUUS,HSC/MPP
BM1_bcCHXT,HSC/MPP
BM1_bcFRGR,HSC/MPP
BM1_bcDOEH,HSC/MPP
BM1_bcGQEI,HSC/MPP
